insert into `livros` values ('978-0-18-072205-3', 'A liberdade de mudar direto da fonte', '2020-10-01', '59', '13');
insert into `livros` values ('978-1-7357927-9-8', 'A certeza de mudar naturalmente', '1986-12-20', '46', '18');
insert into `livros` values ('978-0-86413-995-5', 'A liberdade de evoluir com confiança', '1988-10-19', '12', '10');
insert into `livros` values ('978-1-05-944817-3', 'A segurança de atingir seus objetivos mais facilmente', '1996-04-29', '81', '8');
insert into `livros` values ('978-1-891203-83-1', 'A vantagem de conseguir com toda a tranquilidade', '1991-03-10', '83', '14');
insert into `livros` values ('978-1-06-826551-8', 'O direito de avançar com confiança', '1997-09-07', '73', '4');
insert into `livros` values ('978-1-77679-108-8', 'A certeza de inovar de maneira eficaz', '2000-09-15', '23', '13');
insert into `livros` values ('978-1-255-26106-4', 'O poder de evoluir antes de tudo', '2009-10-12', '96', '14');
insert into `livros` values ('978-1-266-90688-6', 'A arte de conseguir sem preocupação', '1991-05-16', '46', '9');
insert into `livros` values ('978-0-8278-5102-3', 'A certeza de ganhar simplesmente', '1986-04-09', '50', '5');
insert into `livros` values ('978-1-9758-2195-1', 'A simplicidade de evoluir sem preocupação', '1996-12-30', '36', '15');
insert into `livros` values ('978-0-581-95213-4', 'A simplicidade de realizar seus sonhos sem preocupação', '1980-04-13', '82', '17');
insert into `livros` values ('978-1-58896-733-6', 'O direito de realizar seus sonhos de maneira eficaz', '1985-06-20', '1', '15');
insert into `livros` values ('978-0-9916111-1-9', 'A vantagem de inovar naturalmente', '2018-06-11', '74', '5');
insert into `livros` values ('978-1-7373488-0-1', 'A simplicidade de realizar seus sonhos naturalmente', '2011-04-23', '100', '2');
insert into `livros` values ('978-1-67445-304-0', 'A liberdade de avançar simplesmente', '2017-05-05', '3', '1');
insert into `livros` values ('978-1-364-17007-3', 'O conforto de mudar com força total', '2021-12-20', '41', '3');
insert into `livros` values ('978-1-4322-8758-0', 'O direito de atingir seus objetivos com toda a tranquilidade', '1991-06-30', '45', '13');
insert into `livros` values ('978-1-4715-4353-1', 'A certeza de avançar em estado puro', '2004-03-14', '73', '9');
insert into `livros` values ('978-1-995600-36-9', 'O poder de evoluir mais rapidamente', '2010-04-19', '60', '6');
insert into `livros` values ('978-0-13-502938-1', 'O poder de inovar com força total', '2015-04-16', '42', '19');
insert into `livros` values ('978-0-619-98979-8', 'A arte de atingir seus objetivos sem preocupação', '1995-10-26', '79', '9');
insert into `livros` values ('978-1-911966-56-2', 'O direito de ganhar direto da fonte', '1979-08-16', '73', '15');
insert into `livros` values ('978-0-00-177452-0', 'O direito de evoluir naturalmente', '1993-08-11', '25', '2');
insert into `livros` values ('978-1-80559-374-4', 'A arte de evoluir de maneira eficaz', '1990-12-27', '55', '3');
insert into `livros` values ('978-0-08-413928-5', 'O direito de realizar seus sonhos antes de tudo', '1977-06-25', '37', '7');
insert into `livros` values ('978-0-08-388221-2', 'O conforto de avançar antes de tudo', '1970-04-23', '74', '7');
insert into `livros` values ('978-0-06-144993-2', 'O conforto de inovar sem preocupação', '1977-06-28', '31', '3');
insert into `livros` values ('978-0-399-45746-3', 'O direito de realizar seus sonhos com força total', '2016-12-02', '57', '3');
insert into `livros` values ('978-0-577-16515-9', 'O conforto de atingir seus objetivos mais facilmente', '1996-03-15', '49', '14');
insert into `livros` values ('978-1-906031-64-0', 'O direito de atingir seus objetivos mais facilmente', '2018-06-06', '59', '19');
insert into `livros` values ('978-1-67499-694-3', 'A vantagem de concretizar seus projetos com força total', '1970-03-11', '28', '3');
insert into `livros` values ('978-1-05-475329-6', 'A simplicidade de ganhar direto da fonte', '2022-06-19', '90', '13');
insert into `livros` values ('978-0-293-05612-0', 'A liberdade de conseguir com força total', '2007-01-27', '54', '14');
insert into `livros` values ('978-1-85192-277-2', 'A liberdade de concretizar seus projetos sem preocupação', '2007-11-01', '54', '13');
insert into `livros` values ('978-0-7160-3741-5', 'A vantagem de inovar de maneira eficaz', '1974-12-12', '95', '15');
insert into `livros` values ('978-0-221-52159-1', 'O poder de inovar com confiança', '1995-04-30', '30', '12');
insert into `livros` values ('978-1-163-12827-5', 'A possibilidade de ganhar mais facilmente', '2006-04-19', '89', '8');
insert into `livros` values ('978-1-4459-5831-6', 'O poder de avançar com confiança', '2008-04-21', '15', '9');
insert into `livros` values ('978-0-11-490795-2', 'O poder de evoluir sem preocupação', '2005-09-30', '60', '13');
insert into `livros` values ('978-0-212-97587-7', 'A possibilidade de realizar seus sonhos mais facilmente', '1977-10-07', '35', '12');
insert into `livros` values ('978-0-932282-63-7', 'O poder de realizar seus sonhos direto da fonte', '2020-03-20', '32', '13');
insert into `livros` values ('978-1-5448-6187-6', 'A certeza de concretizar seus projetos com confiança', '2004-03-26', '5', '11');
insert into `livros` values ('978-1-221-85495-5', 'A liberdade de concretizar seus projetos de maneira eficaz', '2011-03-10', '71', '15');
insert into `livros` values ('978-0-588-42307-1', 'A liberdade de concretizar seus projetos de maneira eficaz', '2007-04-10', '30', '2');
insert into `livros` values ('978-1-05-702462-1', 'A possibilidade de atingir seus objetivos simplesmente', '1978-09-27', '99', '20');
insert into `livros` values ('978-1-5263-0072-0', 'A segurança de atingir seus objetivos mais facilmente', '1973-11-10', '26', '9');
insert into `livros` values ('978-0-902627-71-0', 'A arte de inovar de maneira eficaz', '2007-07-24', '73', '8');
insert into `livros` values ('978-1-08-992037-3', 'A liberdade de realizar seus sonhos com força total', '2002-07-07', '69', '11');
insert into `livros` values ('978-0-08-996566-7', 'A possibilidade de inovar em estado puro', '2018-09-28', '38', '2');
insert into `livros` values ('978-0-02-530176-4', 'O conforto de evoluir com força total', '2005-04-03', '31', '8');
insert into `livros` values ('978-0-04-378670-3', 'A vantagem de avançar simplesmente', '2019-04-10', '17', '6');
insert into `livros` values ('978-0-268-52770-9', 'O poder de atingir seus objetivos antes de tudo', '1986-01-06', '69', '1');
insert into `livros` values ('978-1-67218-653-7', 'O direito de avançar mais rapidamente', '2013-01-09', '82', '14');
insert into `livros` values ('978-1-82384-581-8', 'A liberdade de inovar naturalmente', '2016-11-13', '63', '6');
insert into `livros` values ('978-1-992409-35-4', 'A certeza de inovar simplesmente', '1985-10-01', '48', '10');
insert into `livros` values ('978-1-271-16939-9', 'O conforto de avançar mais rapidamente', '1971-01-06', '43', '7');
insert into `livros` values ('978-0-235-58313-4', 'A arte de realizar seus sonhos em estado puro', '2010-06-24', '58', '20');
insert into `livros` values ('978-0-256-35923-7', 'O direito de inovar antes de tudo', '1972-11-17', '17', '15');
insert into `livros` values ('978-0-12-729897-9', 'A liberdade de concretizar seus projetos antes de tudo', '1983-05-02', '75', '1');
insert into `livros` values ('978-0-492-57443-2', 'A liberdade de conseguir sem preocupação', '1992-07-31', '2', '2');
insert into `livros` values ('978-1-64842-314-7', 'O direito de avançar com toda a tranquilidade', '1982-01-07', '38', '4');
insert into `livros` values ('978-1-81694-982-0', 'O conforto de evoluir direto da fonte', '1988-12-12', '81', '18');
insert into `livros` values ('978-0-933965-40-9', 'A liberdade de mudar em estado puro', '1986-08-16', '56', '12');
insert into `livros` values ('978-0-06-006501-0', 'A certeza de concretizar seus projetos com toda a tranquilidade', '1993-06-30', '89', '2');
insert into `livros` values ('978-0-8393-6892-2', 'A vantagem de avançar antes de tudo', '1998-02-18', '71', '17');
insert into `livros` values ('978-1-165-83788-5', 'A certeza de concretizar seus projetos mais facilmente', '1979-05-14', '47', '9');
insert into `livros` values ('978-1-04-350435-9', 'O conforto de ganhar com confiança', '2010-02-25', '15', '5');
insert into `livros` values ('978-0-429-78581-8', 'A vantagem de inovar direto da fonte', '1975-11-30', '27', '15');
insert into `livros` values ('978-1-09-521006-2', 'O poder de atingir seus objetivos com força total', '2015-06-24', '33', '15');
insert into `livros` values ('978-0-325-66814-7', 'A segurança de ganhar mais rapidamente', '1984-06-13', '52', '13');
insert into `livros` values ('978-0-586-59061-4', 'A segurança de atingir seus objetivos direto da fonte', '1977-03-19', '31', '8');
insert into `livros` values ('978-0-690-76120-7', 'A possibilidade de ganhar simplesmente', '2006-07-26', '56', '11');
insert into `livros` values ('978-0-8086-1935-2', 'A certeza de ganhar simplesmente', '2014-06-12', '73', '7');
insert into `livros` values ('978-0-277-07099-9', 'O prazer de evoluir mais facilmente', '1999-10-26', '14', '16');
insert into `livros` values ('978-1-5380-4046-1', 'O prazer de atingir seus objetivos com toda a tranquilidade', '1980-06-19', '62', '11');
insert into `livros` values ('978-1-05-397026-7', 'A simplicidade de realizar seus sonhos em estado puro', '2006-01-03', '60', '12');
insert into `livros` values ('978-1-189-37562-2', 'A possibilidade de inovar com força total', '1974-12-03', '67', '18');
insert into `livros` values ('978-1-77751-202-6', 'A possibilidade de ganhar antes de tudo', '2010-03-05', '61', '4');
insert into `livros` values ('978-0-628-73084-8', 'O direito de mudar mais facilmente', '1986-07-02', '71', '9');
insert into `livros` values ('978-0-12-872156-8', 'A certeza de mudar simplesmente', '1982-02-25', '30', '13');
insert into `livros` values ('978-1-09-630009-0', 'A liberdade de mudar em estado puro', '2013-04-01', '72', '6');
insert into `livros` values ('978-0-211-72741-5', 'A certeza de evoluir naturalmente', '1981-01-27', '85', '13');
insert into `livros` values ('978-0-9915366-1-0', 'O direito de atingir seus objetivos naturalmente', '1976-10-23', '97', '1');
insert into `livros` values ('978-0-8355-6084-9', 'O prazer de ganhar de maneira eficaz', '1997-10-20', '68', '6');
insert into `livros` values ('978-1-4679-0023-2', 'O prazer de evoluir em estado puro', '1981-12-22', '51', '7');
insert into `livros` values ('978-0-7507-6839-9', 'A segurança de conseguir sem preocupação', '1976-04-15', '98', '4');
insert into `livros` values ('978-1-285-16778-7', 'O poder de concretizar seus projetos com força total', '1996-12-26', '32', '1');
insert into `livros` values ('978-1-05-165630-9', 'O poder de mudar mais facilmente', '1980-02-02', '88', '8');
insert into `livros` values ('978-1-398-15835-1', 'O prazer de concretizar seus projetos em estado puro', '1997-10-27', '5', '10');
insert into `livros` values ('978-0-7429-5814-2', 'A certeza de evoluir com confiança', '2020-05-06', '100', '1');
insert into `livros` values ('978-1-82663-604-8', 'A possibilidade de inovar de maneira eficaz', '2002-12-02', '56', '5');
insert into `livros` values ('978-0-85831-793-2', 'A simplicidade de concretizar seus projetos com força total', '1985-01-21', '22', '19');
insert into `livros` values ('978-1-162-84143-4', 'O direito de conseguir em estado puro', '1992-07-14', '95', '13');
insert into `livros` values ('978-1-150-23890-1', 'A segurança de inovar mais facilmente', '1983-06-08', '12', '14');
insert into `livros` values ('978-0-7043-8535-1', 'O poder de avançar com toda a tranquilidade', '1975-09-29', '85', '13');
insert into `livros` values ('978-0-500-44280-7', 'O poder de conseguir direto da fonte', '1988-12-31', '61', '3');
insert into `livros` values ('978-0-360-44482-9', 'A simplicidade de ganhar com confiança', '1985-09-06', '36', '13');
insert into `livros` values ('978-1-4616-4615-0', 'A segurança de realizar seus sonhos com toda a tranquilidade', '2020-04-22', '82', '14');
insert into `livros` values ('978-0-352-24251-8', 'A vantagem de atingir seus objetivos direto da fonte', '1982-06-06', '32', '6');
insert into `livros` values ('978-0-215-81599-6', 'A liberdade de avançar mais rapidamente', '1985-06-14', '6', '11');
insert into `livros` values ('978-0-517-65315-9', 'O prazer de realizar seus sonhos naturalmente', '1971-01-27', '79', '15');
insert into `livros` values ('978-1-198-99591-0', 'A possibilidade de ganhar simplesmente', '1983-04-12', '71', '19');
insert into `livros` values ('978-0-7357-0661-3', 'A liberdade de mudar naturalmente', '2000-05-16', '37', '11');
insert into `livros` values ('978-1-128-15310-6', 'A certeza de ganhar mais facilmente', '1972-03-09', '69', '3');
insert into `livros` values ('978-1-100-21159-6', 'O direito de ganhar direto da fonte', '2002-01-08', '71', '18');
insert into `livros` values ('978-0-7527-9920-9', 'O direito de realizar seus sonhos em estado puro', '1978-12-03', '63', '4');
insert into `livros` values ('978-0-10-526177-3', 'O direito de evoluir naturalmente', '1997-02-27', '72', '20');
insert into `livros` values ('978-1-4057-1962-9', 'A certeza de conseguir sem preocupação', '1993-09-08', '72', '17');
insert into `livros` values ('978-1-78852-767-5', 'O direito de realizar seus sonhos com toda a tranquilidade', '2009-01-09', '57', '8');
insert into `livros` values ('978-1-86382-954-0', 'O conforto de conseguir antes de tudo', '1991-12-29', '54', '5');
insert into `livros` values ('978-0-7619-7541-0', 'A certeza de realizar seus sonhos com força total', '2022-06-18', '14', '5');
insert into `livros` values ('978-0-553-52997-5', 'O direito de atingir seus objetivos antes de tudo', '2017-07-01', '92', '1');
insert into `livros` values ('978-1-4448-2345-5', 'O conforto de evoluir direto da fonte', '1993-04-16', '73', '11');
insert into `livros` values ('978-1-881451-65-5', 'A possibilidade de concretizar seus projetos sem preocupação', '2014-10-12', '81', '9');
